ID,Is_Lead
VBENBARO,0.044135436
CCMEWNKY,0.863616
VK3KGA9M,0.052136283
TT8RPZVC,0.02416379
SHQZEYTZ,0.02154687
MZZAQMPT,0.088452235
Y88TW36I,0.08212277
3UGOAQNU,0.051887598
VVUKMUJT,0.99251413
9R363ZXS,0.15880519
BLISM6JE,0.05170382
CH8S7JK7,0.24568772
EAHDPXEJ,0.8385535
BNUK9PRF,0.3225927
GP2PG6FJ,0.05224848
WNQCSN8A,0.044685606
32DN4YVZ,0.45169252
GXAMDANM,0.052201666
MXETLUP4,0.06753634
MPXK6TVE,0.8319895
LBSIME2K,0.15134272
D6ORJTM6,0.051726095
HGDIBAKA,0.8230881
UUZYL9DZ,0.46038404
AUGE3VWK,0.052256808
MX7GOX6Q,0.09070687
TQN6K35W,0.060767744
QQDRMQQN,0.48775747
UP6GC6F4,0.0519901
BMHBUVHB,0.6013068
KGLDW86A,0.1576135
FQEOMOP4,0.120101824
DYWM5MEU,0.172149
DXHGXV8F,0.05089047
AVFBFQKC,0.17162013
DBIDKYMV,0.123705536
KYZHMEBY,0.21440516
SSFEBUGF,0.05194082
MGJTAG8X,0.47536653
MP6BERDO,0.14772591
GXZ8ED68,0.052531026
ICTFGWQR,0.6762531
EAYHTRKH,0.022925163
6FN97QLQ,0.10581572
3H5MZDDW,0.3769213
2DXZZWSN,0.042270586
MM4QIRE5,0.07886593
HJWVYXUA,0.14185551
RBRSJUP3,0.8367869
YFRQKGXW,0.41642505
N3SADEBV,0.054176547
G2A2YYXY,0.04538721
XMGA3WT3,0.05628608
KVZQPSGI,0.16881424
UAKARBBG,0.046483
WYKKL85Z,0.20315294
GHNYYGRR,0.10518904
UBAJANWT,0.05254528
LSARSF7U,0.023159957
4CNSJVVR,0.2309305
JRHJSWYO,0.340864
FHZ8SVVI,0.066744655
JUIRE47M,0.85834354
GDIVN2GL,0.059799396
WMF3DYE3,0.80908525
MAQEHEWK,0.16142368
2W8DLKFU,0.05270332
AKGRML6H,0.10889879
B7WUUGCY,0.046396863
TLJOYATM,0.43503466
UH6ZDM3W,0.8652954
7IP5SSRR,0.8322891
PV85PMEB,0.47729144
FGDOY4NI,0.1280884
7YYIXJQE,0.057398126
BHW42XPW,0.056724958
3PKEEAT4,0.30417633
ACFPZ3LM,0.052258994
6GORGNYN,0.83179843
AEPQTMJK,0.2583694
S6FNZFKK,0.05003873
JTYNEKRQ,0.67482483
GPXDPHHC,0.058836415
O8TMKNNB,0.056428142
XSQVHKYG,0.052374948
MJ3CZRAE,0.021832138
3NSQEYBJ,0.4038683
SXVBASGH,0.051786162
5ZIGZYSS,0.056345806
FQSHBCUT,0.35052848
MU45XUBP,0.05488855
BVULDPBI,0.0567388
82GRNPFG,0.8379367
KKBNELBF,0.04564962
HXQGBDGY,0.053171977
28HDZICG,0.53575057
GHBPKPJC,0.051618822
FDWZFSSC,0.8473952
FWTIWZF3,0.051644575
JYMHVPMY,0.042685974
AHUDO2T6,0.8400141
ACDHABS3,0.24847968
5NTYJJDV,0.07156327
2M4VPY4V,0.097725496
KAHP9XLF,0.07476926
YRLEWZFQ,0.11859218
JZWVLXHJ,0.14704756
JZZSXUKT,0.28475595
93RURE2J,0.8480649
4RNB6FDV,0.2401056
27E7HMMG,0.087513186
2QEFQQWN,0.052755967
DDTCD2XI,0.07823688
VGVEYSEG,0.8323524
WCXVE7RK,0.05530124
RTN4R3UE,0.04653211
K2PVS4RB,0.052982923
Q36J686Z,0.09149642
NWKHMEOF,0.13143496
PVJYQQGT,0.30144736
GPUMRNWC,0.051985975
LXHCDSVH,0.15994199
BNIUPSVK,0.07903546
FW3QI3WW,0.075335816
IEEUGXMY,0.8687041
FVVXDLBO,0.05197827
UC2JJB6Y,0.07083312
